title,emitted,video,madvideo
Miscelánea,06/26/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCpvxWN_1ZmlEMcU7E8A21Ci,http://madvideosperu.blogspot.com/2013/06/miscelanea_26.html
Miscelánea,06/19/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCpqgS6C_BtrraxyoXmcza1N,http://madvideosperu.blogspot.com/2013/06/miscelanea_19.html
Entrevista: Artidoro Cáceres Velázquez,06/12/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCrzWq_atsb82ewF-GDqj1zG,http://madvideosperu.blogspot.com/2013/06/entrevista-artidoro-caceres-velazquez.html
Miscelánea,06/05/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCrY5n4ZMv_4qRIh0nsXBwiY,http://madvideosperu.blogspot.com/2013/06/miscelanea.html
