title,emitted,video,madvideo
Entrevista: Marcel Velázquez Castro,08/28/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCosL-wJIW4YRaQgHnqmqu9K,http://madvideosperu.blogspot.com/2013/08/entrevista-marcel-velazquez-castro.html
Miscelánea,08/21/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCqfHdeD9SueQklWosn13wNi,http://madvideosperu.blogspot.com/2013/08/miscelanea_21.html
Entrevista: Eduardo González Viaña,08/14/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCryHpBs0Tg5hfpXVgvYFIm_,http://madvideosperu.blogspot.com/2013/08/entrevista-eduardo-gonzalez-viana.html
Miscelánea,08/07/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCqGlSPv_VNUBP72hH-NB0VL,http://madvideosperu.blogspot.com/2013/08/miscelanea.html

