title,emitted,video,madvideo
Miscelánea,10/30/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCo0B97pXsRfr1hxEoxeFkGs,http://madvideosperu.blogspot.com/2013/10/miscelanea_30.html
Miscelánea,10/23/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCoqghWizrHeGDkOtWH5TPOu,http://madvideosperu.blogspot.com/2013/10/miscelanea_23.html
Miscelánea,10/16/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCoYBF_g46ad2yLVMz8zK6nq,http://madvideosperu.blogspot.com/2013/10/miscelanea_16.html
Crítica de libros. Emetido en 2012,10/09/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCooYtZpMpJua72FB0JHrsOn,http://madvideosperu.blogspot.com/2013/10/critica-de-libros.html
Miscelánea,10/02/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCqqC23kFlVaheqrTeLpXM33,http://madvideosperu.blogspot.com/2013/10/miscelanea.html

