title,emitted,video,madvideo
Entrevista: Juan Cantavella Blasco,28,https://www.youtube.com/playlist?list=PLqJau3BSAcCpcVTSgS1UiHj9gLS5lPtHr,http://madvideosperu.blogspot.com/2013/12/entrevista-juan-cantavella-blasco.html
Transmisión interrumpida,20,.,http://madvideosperu.blogspot.com/2013/11/transmision-interrumpida.html
Entrevista: Max Hernández,14,https://www.youtube.com/playlist?list=PLqJau3BSAcCrrBF4XU0P5zBiiPvERmXFR,http://madvideosperu.blogspot.com/2013/11/entrevista-max-hernandez.html
Entrevista: Luis Millones Santagadea,06,.,http://madvideosperu.blogspot.com/2013/11/entrevista-luis-millones-santagadea.html

