title,emitted,video,madvideo
Transmisión interrumpida,12/25/2013,.,http://madvideosperu.blogspot.com/2013/12/transmision-interrumpida.html
Especial de Fin de Año,12/18/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCrITZKgDj4JPMbfcRGTynKX,http://madvideosperu.blogspot.com/2013/12/especial-de-fin-de-ano_18.html
Miscelánea,12/11/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCqTuHEHmI_DLqHB_d-hwxyX,http://madvideosperu.blogspot.com/2013/12/miscelanea.html
Entrevista: Mónica Cabrejos,12/01/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCq0b5AByZs8zAhWfX2yxfEy,http://madvideosperu.blogspot.com/2013/12/entrevista-monica-cabrejos.html

