title,emitted,video,madvideo
Entrevista: Rafael Robles Olivos,09/25/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCrB-SJot6IiKoWR0TCmfZj0,http://madvideosperu.blogspot.com/2013/09/entrevista-rafael-robles-olivos.html
Entrevista: Luis Millones Santagadea,09/18/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCrz33DLa39wJPD1sAV6_uw4,http://madvideosperu.blogspot.com/2013/09/entrevista-luis-millones-santagadea.html
Miscelánea,09/11/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcConuxi0KhwEZ094dKYIL4uG,http://madvideosperu.blogspot.com/2013/09/miscelanea_11.html
Miscelánea,09/04/2013,https://www.youtube.com/playlist?list=PLqJau3BSAcCo97MeMfJ9pjGUNYbIJKJj_,http://madvideosperu.blogspot.com/2013/09/miscelanea.html

